;image_id;set_id;scene_id;version_id;dalt_id;coldef_type;is_correct;resp_time;observer_id;observer_coldef_type;session_id;filepath
91;86;13;20;2;99;1;0.0;2.3186168670654297;10;2;6;images/set11/0861990001.png
92;87;13;21;1;0;0;0.0;0.8340657949447632;10;2;6;images/set11/0870000000.png
93;87;13;21;1;1;1;0.0;0.884082019329071;10;2;6;images/set11/0871010001.png
94;87;13;21;1;1;2;0.0;1.4345519542694092;10;2;6;images/set11/0871010002.png
95;87;13;21;1;2;1;0.0;1.1176762580871582;10;2;6;images/set11/0871020001.png
96;87;13;21;1;2;2;0.0;0.7339966893196106;10;2;6;images/set11/0871020002.png
97;87;13;21;1;3;1;0.0;1.0841209888458252;10;2;6;images/set11/0871030001.png
98;87;13;21;1;3;2;0.0;1.0509164333343506;10;2;6;images/set11/0871030002.png
99;87;13;21;1;4;1;0.0;0.8174291253089905;10;2;6;images/set11/0871040001.png
100;87;13;21;1;4;2;0.0;0.8507577180862427;10;2;6;images/set11/0871040002.png
101;87;13;21;1;99;1;1.0;1.0341882705688477;10;2;6;images/set11/0871990001.png
102;88;13;21;2;0;0;0.0;1.5679881572723389;10;2;6;images/set11/0880000000.png
103;88;13;21;2;1;1;0.0;1.651340126991272;10;2;6;images/set11/0881010001.png
104;88;13;21;2;1;2;0.0;1.4178524017333984;10;2;6;images/set11/0881010002.png
105;88;13;21;2;2;1;0.0;1.2012070417404175;10;2;6;images/set11/0881020001.png
106;88;13;21;2;2;2;0.0;1.0176310539245605;10;2;6;images/set11/0881020002.png
107;88;13;21;2;3;1;1.0;1.2677559852600098;10;2;6;images/set11/0881030001.png
108;88;13;21;2;3;2;1.0;1.8181647062301636;10;2;6;images/set11/0881030002.png
109;88;13;21;2;4;1;0.0;1.9182308912277222;10;2;6;images/set11/0881040001.png
110;88;13;21;2;4;2;0.0;1.0008959770202637;10;2;6;images/set11/0881040002.png
111;88;13;21;2;99;1;0.0;1.4512335062026978;10;2;6;images/set11/0881990001.png
112;70;9;14;0;0;0;0.0;1.1843303442001343;10;2;6;images/set9/0700000000.png
113;71;9;14;1;0;0;0.0;1.1676501035690308;10;2;6;images/set9/0710000000.png
114;71;9;14;1;1;1;0.0;0.8507444262504578;10;2;6;images/set9/0711010001.png
115;71;9;14;1;1;2;0.0;0.7339594960212708;10;2;6;images/set9/0711010002.png
116;71;9;14;1;2;1;0.0;0.6505997776985168;10;2;6;images/set9/0711020001.png
117;71;9;14;1;2;2;0.0;1.9182697534561157;10;2;6;images/set9/0711020002.png
118;71;9;14;1;3;1;0.0;1.4846155643463135;10;2;6;images/set9/0711030001.png
119;71;9;14;1;3;2;0.0;0.8174171447753906;10;2;6;images/set9/0711030002.png
120;71;9;14;1;4;1;0.0;1.1509915590286255;10;2;6;images/set9/0711040001.png
121;71;9;14;1;4;2;0.0;1.0676023960113525;10;2;6;images/set9/0711040002.png
122;71;9;14;1;99;1;1.0;0.8507516980171204;10;2;6;images/set9/0711990001.png
123;72;9;14;2;0;0;0.0;1.3846533298492432;10;2;6;images/set9/0720000000.png
124;72;9;14;2;1;1;0.0;0.934169590473175;10;2;6;images/set9/0721010001.png
125;72;9;14;2;1;2;0.0;0.8007586598396301;10;2;6;images/set9/0721010002.png
126;72;9;14;2;2;1;0.0;1.5011364221572876;10;2;6;images/set9/0721020001.png
127;72;9;14;2;2;2;0.0;1.3344242572784424;10;2;6;images/set9/0721020002.png
128;72;9;14;2;3;1;0.0;1.2678009271621704;10;2;6;images/set9/0721030001.png
129;72;9;14;2;3;2;0.0;1.0675650835037231;10;2;6;images/set9/0721030002.png
130;72;9;14;2;4;1;0.0;1.0676078796386719;10;2;6;images/set9/0721040001.png
131;72;9;14;2;4;2;0.0;2.702165365219116;10;2;6;images/set9/0721040002.png
132;72;9;14;2;99;1;0.0;0.667295515537262;10;2;6;images/set9/0721990001.png
133;42;2;4;0;0;0;0.0;0.8007299900054932;10;2;6;images/set2/0420000000.png
134;43;2;4;1;0;0;0.0;0.7841001152992249;10;2;6;images/set2/0430000000.png
135;43;2;4;1;1;1;0.0;0.7173848152160645;10;2;6;images/set2/0431010001.png
136;43;2;4;1;1;2;0.0;0.9174999594688416;10;2;6;images/set2/0431010002.png
137;43;2;4;1;2;1;0.0;2.65220308303833;10;2;6;images/set2/0431020001.png
138;43;2;4;1;2;2;0.0;1.11766517162323;10;2;6;images/set2/0431020002.png
139;43;2;4;1;3;1;0.0;0.8506203889846802;10;2;6;images/set2/0431030001.png
140;43;2;4;1;3;2;0.0;0.7339937090873718;10;2;6;images/set2/0431030002.png
141;43;2;4;1;4;1;0.0;1.100960373878479;10;2;6;images/set2/0431040001.png
142;43;2;4;1;4;2;0.0;1.9849730730056763;10;2;6;images/set2/0431040002.png
143;43;2;4;1;99;1;1.0;0.8841097950935364;10;2;6;images/set2/0431990001.png
144;44;2;4;2;0;0;0.0;1.16769540309906;10;2;6;images/set2/0440000000.png
145;44;2;4;2;1;1;0.0;0.8007166981697083;10;2;6;images/set2/0441010001.png
146;44;2;4;2;1;2;0.0;0.9008303284645081;10;2;6;images/set2/0441010002.png
147;44;2;4;2;2;1;0.0;1.6847478151321411;10;2;6;images/set2/0441020001.png
148;44;2;4;2;2;2;0.0;0.800855278968811;10;2;6;images/set2/0441020002.png
149;44;2;4;2;3;1;0.0;0.9341977834701538;10;2;6;images/set2/0441030001.png
150;44;2;4;2;3;2;0.0;1.0342177152633667;10;2;6;images/set2/0441030002.png
151;44;2;4;2;4;1;0.0;1.4178869724273682;10;2;6;images/set2/0441040001.png
152;44;2;4;2;4;2;0.0;1.0342001914978027;10;2;6;images/set2/0441040002.png
153;44;2;4;2;99;1;0.0;0.8674307465553284;10;2;6;images/set2/0441990001.png
154;45;2;5;0;0;0;0.0;0.8342831134796143;10;2;6;images/set2/0450000000.png
155;46;2;5;1;0;0;0.0;0.7673346996307373;10;2;6;images/set2/0460000000.png
156;46;2;5;1;1;1;0.0;0.9174935221672058;10;2;6;images/set2/0461010001.png
157;46;2;5;1;1;2;0.0;0.8006466031074524;10;2;6;images/set2/0461010002.png
158;46;2;5;1;2;1;1.0;2.2017669677734375;10;2;6;images/set2/0461020001.png
159;46;2;5;1;2;2;0.0;0.8507683873176575;10;2;6;images/set2/0461020002.png
160;46;2;5;1;3;1;0.0;1.084272861480713;10;2;6;images/set2/0461030001.png
161;46;2;5;1;3;2;0.0;1.1841939687728882;10;2;6;images/set2/0461030002.png
162;46;2;5;1;4;1;0.0;0.6839736700057983;10;2;6;images/set2/0461040001.png
163;46;2;5;1;4;2;0.0;0.8341145515441895;10;2;6;images/set2/0461040002.png
164;46;2;5;1;99;1;1.0;0.9008059501647949;10;2;6;images/set2/0461990001.png
165;47;2;5;2;0;0;0.0;1.451227068901062;10;2;6;images/set2/0470000000.png
166;47;2;5;2;1;1;0.0;2.385345458984375;10;2;6;images/set2/0471010001.png
167;47;2;5;2;1;2;0.0;1.1510365009307861;10;2;6;images/set2/0471010002.png
168;47;2;5;2;2;1;0.0;1.0341061353683472;10;2;6;images/set2/0471020001.png
169;47;2;5;2;2;2;0.0;1.58453369140625;10;2;6;images/set2/0471020002.png
170;47;2;5;2;3;1;0.0;1.351146936416626;10;2;6;images/set2/0471030001.png
171;47;2;5;2;3;2;0.0;1.5179415941238403;10;2;6;images/set2/0471030002.png
172;47;2;5;2;4;1;0.0;2.1851980686187744;10;2;6;images/set2/0471040001.png
173;47;2;5;2;4;2;0.0;3.119162082672119;10;2;6;images/set2/0471040002.png
174;47;2;5;2;99;1;0.0;0.7840158939361572;10;2;6;images/set2/0471990001.png
175;67;8;13;0;0;0;0.0;0.7506932616233826;10;2;6;images/set8/0670000000.png
176;68;8;13;1;0;0;0.0;0.7672897577285767;10;2;6;images/set8/0680000000.png
177;68;8;13;1;1;1;0.0;0.850676417350769;10;2;6;images/set8/0681010001.png
178;68;8;13;1;1;2;0.0;1.5012736320495605;10;2;6;images/set8/0681010002.png
179;68;8;13;1;2;1;0.0;1.1509915590286255;10;2;6;images/set8/0681020001.png
180;68;8;13;1;2;2;0.0;1.1843488216400146;10;2;6;images/set8/0681020002.png
181;68;8;13;1;3;1;0.0;0.7673252820968628;10;2;6;images/set8/0681030001.png
182;68;8;13;1;3;2;0.0;0.7006151080131531;10;2;6;images/set8/0681030002.png
183;68;8;13;1;4;1;0.0;1.3178247213363647;10;2;6;images/set8/0681040001.png
184;68;8;13;1;4;2;0.0;0.7840287089347839;10;2;6;images/set8/0681040002.png
185;68;8;13;1;99;1;1.0;0.8507388830184937;10;2;6;images/set8/0681990001.png
186;69;8;13;2;0;0;0.0;0.8173872232437134;10;2;6;images/set8/0690000000.png
187;69;8;13;2;1;1;0.0;1.0675660371780396;10;2;6;images/set8/0691010001.png
188;69;8;13;2;1;2;0.0;1.4011642932891846;10;2;6;images/set8/0691010002.png
189;69;8;13;2;2;1;0.0;1.017522931098938;10;2;6;images/set8/0691020001.png
190;69;8;13;2;2;2;0.0;0.7672025561332703;10;2;6;images/set8/0691020002.png
191;69;8;13;2;3;1;0.0;0.7173300981521606;10;2;6;images/set8/0691030001.png
192;69;8;13;2;3;2;0.0;0.7673436999320984;10;2;6;images/set8/0691030002.png
193;69;8;13;2;4;1;0.0;1.4178690910339355;10;2;6;images/set8/0691040001.png
194;69;8;13;2;4;2;0.0;1.0675801038742065;10;2;6;images/set8/0691040002.png
195;69;8;13;2;99;1;0.0;0.8007359504699707;10;2;6;images/set8/0691990001.png
